LoadLibrary Error :126
Error :agora::rtc::NodeRtcEngine::registerPlugin, :3811, not unload plugin "bytedance"

duration : 1, tx :451408, rx :4367, txbr :0, rxbr :0, txAudioBr :0, rxAudioBr :0, users :1
duration : 363, tx :180335804, rx :3909720, txbr :3274, rxbr :591, txAudioBr :76, rxAudioBr :51, users :2

duration : 365, tx :181284555, rx :4061777, txbr :3795, rxbr :608, txAudioBr :68, rxAudioBr :50, users :2

duration : 367, tx :182432307, rx :4205254, txbr :4588, rxbr :573, txAudioBr :79, rxAudioBr :51, users :2

duration : 369, tx :183116883, rx :4336844, txbr :2738, rxbr :526, txAudioBr :71, rxAudioBr :49, users :2

duration : 371, tx :183929619, rx :4497580, txbr :3250, rxbr :642, txAudioBr :66, rxAudioBr :54, users :2

duration : 373, tx :184792727, rx :4623647, txbr :3454, rxbr :504, txAudioBr :67, rxAudioBr :49, users :2

duration : 375, tx :185759104, rx :4732681, txbr :3865, rxbr :436, txAudioBr :66, rxAudioBr :48, users :2

duration : 377, tx :186730172, rx :4836859, txbr :3882, rxbr :416, txAudioBr :71, rxAudioBr :45, users :2

duration : 379, tx :187563838, rx :4978594, txbr :3336, rxbr :567, txAudioBr :65, rxAudioBr :53, users :2

duration : 381, tx :188345707, rx :5119818, txbr :3129, rxbr :565, txAudioBr :82, rxAudioBr :59, users :2

duration : 383, tx :189123921, rx :5254647, txbr :3109, rxbr :538, txAudioBr :79, rxAudioBr :51, users :2

duration : 385, tx :189683369, rx :5390400, txbr :2234, rxbr :542, txAudioBr :74, rxAudioBr :53, users :2

duration : 387, tx :190979907, rx :5557239, txbr :5193, rxbr :668, txAudioBr :86, rxAudioBr :55, users :2

duration : 389, tx :192242472, rx :5702080, txbr :5052, rxbr :579, txAudioBr :76, rxAudioBr :52, users :2

duration : 391, tx :192953120, rx :5834445, txbr :2839, rxbr :528, txAudioBr :76, rxAudioBr :51, users :2

duration : 393, tx :193855153, rx :6008621, txbr :3611, rxbr :697, txAudioBr :83, rxAudioBr :58, users :2

duration : 395, tx :194425889, rx :6146589, txbr :2282, rxbr :551, txAudioBr :72, rxAudioBr :51, users :2

duration : 397, tx :195147248, rx :6287068, txbr :2883, rxbr :561, txAudioBr :71, rxAudioBr :47, users :2

duration : 399, tx :195756195, rx :6416935, txbr :2437, rxbr :519, txAudioBr :79, rxAudioBr :61, users :2

duration : 401, tx :196301961, rx :6557419, txbr :2180, rxbr :561, txAudioBr :73, rxAudioBr :52, users :2

duration : 403, tx :197015963, rx :6691892, txbr :2858, rxbr :538, txAudioBr :84, rxAudioBr :55, users :2

duration : 405, tx :197694520, rx :6814093, txbr :2712, rxbr :488, txAudioBr :82, rxAudioBr :55, users :2

duration : 407, tx :198392802, rx :6933023, txbr :2794, rxbr :475, txAudioBr :80, rxAudioBr :55, users :2

